,,,,
24,5,,,
25,7,,,
26,6,,,
27,2,,,
28,4,,,
29,9,,,
30,6,,,
31,4,,,
32,3,,,
33,2,,,
34,4,,,
35,6,,,
36,7,,,
37,8,,,
38,1,,,
39,3,,,
40,10,,,
41,11,,,
42,6,,,
43,2,,,
44,4,,,
45,9,,,
46,6,,,
47,4,,,
48,3,,,
49,2,,,
50,4,,,
51,6,,,
52,7,,,
53,8,,,
54,1,,,
55,3,,,
56,6,,,
57,2,,,
58,4,,,
59,9,,,
60,6,,,
61,4,,,
62,3,,,
63,2,,,
64,4,,,
65,6,,,
66,7,,,
67,8,,,
68,1,,,
69,3,,,
70,6,,,
71,2,,,
72,4,,,
73,9,,,
74,6,,,
75,4,,,
76,3,,,
77,2,,,
78,4,,,
79,6,,,
80,7,,,
81,8,,,
82,1,,,
83,3,,,
84,6,,,
85,2,,,
86,4,,,
87,9,,,
88,6,,,
89,4,,,
90,3,,,
91,2,,,
92,4,,,
93,6,,,
94,7,,,
95,8,,,
96,1,,,
97,3,,,
98,6,,,
99,2,,,
100,4,,,
101,9,,,
102,6,,,
103,4,,,
104,3,,,
105,2,,,
106,4,,,
107,6,,,
108,7,,,
109,8,,,
110,1,,,
111,3,,,
112,6,,,
113,2,,,
114,4,,,
115,9,,,
116,6,,,
117,4,,,
118,3,,,
119,2,,,
120,4,,,
121,6,,,
122,7,,,
123,8,,,
124,1,,,
125,3,,,
126,6,,,
127,2,,,
128,4,,,
129,9,,,
130,6,,,
131,4,,,
132,3,,,
133,2,,,
134,4,,,
135,6,,,
136,7,,,
137,8,,,
138,1,,,
139,3,,,
140,6,,,
141,2,,,
142,4,,,
143,9,,,
144,6,,,
145,4,,,
146,3,,,
147,2,,,
148,4,,,
149,6,,,
150,7,,,
151,8,,,
152,1,,,
153,3,,,
154,6,,,
155,2,,,
156,4,,,
157,9,,,
158,6,,,
159,4,,,
160,3,,,
161,2,,,
162,4,,,
163,6,,,
164,7,,,
165,8,,,
166,1,,,
167,3,,,
168,6,,,
169,2,,,
170,4,,,
171,9,,,
172,6,,,
173,4,,,
174,3,,,
175,2,,,
176,4,,,
177,6,,,
178,7,,,
179,8,,,
180,1,,,
181,3,,,
182,6,,,
183,2,,,
184,4,,,
185,9,,,
186,6,,,
187,4,,,
188,3,,,
189,2,,,
190,4,,,
191,6,,,
192,7,,,
193,8,,,
194,1,,,
195,3,,,
196,8,,,
197,2,,,
198,3,,,
199,10,,,
