1,1,,,
2,2,,,
3,3,,,
4,4,,,
5,5,,,
6,6,,,
7,7,,,
8,8,,,
9,9,,,
10,10,,,
11,11,,,
12,12,,,
13,13,,,
1,14,,,
2,15,,,
3,16,,,
4,17,,,
5,18,,,
6,19,,,
7,20,,,
8,21,,,
9,22,,,
10,23,,,
11,24,,,
1,25,,,
2,26,,,
3,27,,,
4,28,,,
5,29,,,
6,30,,,
7,31,,,
8,32,,,
9,33,,,
10,34,,,
11,35,,,
1,36,,,
2,37,,,
3,38,,,
4,39,,,
5,40,,,
6,41,,,
7,42,,,
8,43,,,
9,44,,,
10,45,,,
11,46,,,
12,47,,,
13,48,,,
1,49,,,
2,50,,,
3,51,,,
4,52,,,
5,53,,,
6,54,,,
7,55,,,
8,56,,,
9,57,,,
10,58,,,
11,59,,,
12,60,,,
13,61,,,
1,62,,,
2,63,,,
3,64,,,
4,65,,,
5,66,,,
6,67,,,
7,68,,,
8,69,,,
9,70,,,
1,71,,,
2,72,,,
3,73,,,
4,74,,,
5,75,,,
6,76,,,
7,77,,,
8,78,,,
9,79,,,
10,80,,,
11,81,,,
12,82,,,
13,83,,,
1,84,,,
2,85,,,
3,86,,,
4,87,,,
5,88,,,
6,89,,,
7,90,,,
8,91,,,
9,92,,,
10,93,,,
11,94,,,
12,95,,,
13,96,,,
10,97,,,
11,98,,,
3,99,,,
